收款编号,发票编号,收款日期,收款金额
S00001,F000001,2016/10/29,2235.6
S00002,F000002,2016/11/12,362.7372
S00003,F000002,2017/1/4,1050.728756
S00004,F000002,2017/1/25,313.854044
S00005,F000003,2017/10/29,1098.35
S00006,F000004,2016/12/27,297.2592
S00007,F000004,2017/1/17,528.4608000000001
S00008,F000005,2017/5/21,1383.4
S00009,F000006,2016/12/24,11084.75
S00010,F000007,2017/4/13,3500.33
S00011,F000008,2016/11/12,3000.0
S00012,F000008,2016/12/22,2240.48
S00013,F000009,2017/1/16,4339.58
S00014,F000010,2016/11/22,2903.6436
S00015,F000010,2017/1/23,2543.293984
S00016,F000010,2017/2/18,1998.3024160000004
S00017,F000011,2017/7/30,2474.56
S00018,F000012,2017/2/26,15086.15
S00019,F000013,2017/4/14,1139.43
S00020,F000014,2016/12/26,2874.36
S00021,F000015,2017/4/14,4588.2
S00022,F000016,2017/3/4,5960.4
S00023,F000017,2017/1/3,10833.46
S00024,F000018,2017/9/22,4368.43
S00025,F000019,2017/1/13,3173.9904000000006
S00026,F000019,2017/3/24,2493.8496
S00027,F000020,2017/1/13,4210.7
S00028,F000021,2017/7/8,7655.25
S00029,F000022,2017/10/25,3906.54
S00030,F000023,2017/3/22,3918.72
S00031,F000024,2017/6/22,3279.12
S00032,F000025,2017/2/24,3456.48
S00033,F000026,2017/3/2,5557.68
S00034,F000027,2017/2/21,4719.17
S00035,F000028,2017/5/7,6429.3
S00036,F000029,2017/10/21,1736.57
S00037,F000030,2017/5/20,1462.43
S00038,F000031,2017/7/28,1280.272
S00039,F000031,2017/10/4,522.9280000000001
S00040,F000032,2017/10/4,687.8256000000001
S00041,F000032,2017/11/25,354.3344
S00042,F000033,2017/4/23,6430.42
S00043,F000034,2017/2/19,1072.39
S00044,F000035,2017/2/11,6524.1
S00045,F000036,2017/2/28,6748.589999999999
S00046,F000037,2017/2/19,723.726
S00047,F000037,2017/3/31,2538.66998
S00048,F000037,2017/5/27,758.3040199999997
S00049,F000038,2017/7/7,4202.400000000001
S00050,F000039,2017/7/21,1120.422
S00051,F000039,2017/8/17,286.9254600000001
S00052,F000039,2017/10/16,216.45254
S00053,F000040,2017/8/3,1290.912
S00054,F000040,2017/10/5,1014.2880000000002
S00055,F000041,2017/4/19,1880.0
S00056,F000042,2017/11/12,6107.400000000001
S00057,F000043,2017/5/29,1410.75
S00058,F000044,2017/5/31,2319.46
S00059,F000045,2017/11/10,6508.759999999999
S00060,F000046,2017/8/3,7594.08
S00061,F000047,2017/3/29,6811.000000000001
S00062,F000048,2017/7/18,1277.9
S00063,F000049,2017/3/27,3291.5
S00064,F000050,2017/2/18,626.78
S00065,F000050,2017/4/7,2222.2200000000003
S00066,F000051,2017/10/15,424.941
S00067,F000051,2017/11/13,3438.159
S00068,F000052,2017/3/12,683.1104
S00069,F000052,2017/5/18,972.578432
S00070,F000052,2017/6/30,479.031168
S00071,F000053,2017/10/8,5514.8
S00072,F000054,2017/3/18,5915.42
S00073,F000055,2017/10/4,1112.1
S00074,F000056,2017/10/16,3584.7
S00075,F000057,2017/3/19,2082.02
S00076,F000058,2017/4/11,4049.4
S00077,F000059,2017/8/5,2490.44
S00078,F000060,2017/2/7,743.171
S00079,F000060,2017/3/12,401.31234
S00080,F000060,2017/5/7,206.73666000000003
S00081,F000061,2017/8/14,4777.6
S00082,F000062,2017/2/11,4393.094999999999
S00083,F000062,2017/4/5,1882.755
S00084,F000063,2017/9/22,4981.200000000001
S00085,F000064,2017/6/11,2542.98
S00086,F000065,2017/6/4,1976.0328
S00087,F000065,2017/7/10,407.282316
S00088,F000065,2017/9/6,361.174884
S00089,F000066,2017/9/23,3930.18
S00090,F000067,2017/10/4,3028.16
S00091,F000068,2017/8/28,528.468
S00092,F000068,2017/9/19,381.39648
S00093,F000068,2017/10/31,214.5355199999999
S00094,F000069,2017/2/19,1766.96
S00095,F000070,2017/2/16,2983.76
S00096,F000071,2017/2/24,4953.6
S00097,F000072,2017/4/3,1123.98
S00098,F000073,2017/4/26,3657.68
S00099,F000074,2017/2/18,2427.57
S00100,F000075,2017/7/8,2959.8
S00101,F000076,2017/3/3,5559.34
S00102,F000077,2017/3/31,3248.87
